anno	provincia	localizzazione_incidente	tipo_di_strada	intersezione_o_non_interse3	segnaletica	condizioni_meteorologiche	natura_incidente	veicolo__a___et__conducente	veicolo__a___esito_conducente	veicolo__b___et__conducente	veicolo__b___esito_conducente	altri_veicoli_coinvolti	morti_entro_24_ore	morti_entro_30_giorni	feriti	Ora	trimestre
19	090	1	2	01	4	1	03	18-29	1	15-17	2	0	0	0	1	21	1
19	090	6	1	07	3	1	04	30-44	1	30-44	2	1	0	0	1	18	1
19	090	1	1	01	4	1	02	45-54	2	45-54	1	0	0	0	1	20	1
19	090	1	2	01	4	7	02	55-64	1	45-54	1	0	0	0	1	13	1
19	090	1	1	01	3	3	02	30-44	1	30-44	2	0	0	0	1	19	1
19	090	6	3	08	4	3	06	55-64	2	30-44	2	0	0	0	2	17	1
19	090	6	3	07	4	1	04	30-44	1	55-64	2	0	0	0	1	19	1
19	091	6	2	07	4	1	08	65+  	2	     	 	0	0	0	1	10	1
19	091	6	2	07	3	4	04	30-44	1	30-44	2	0	0	0	1	19	1
19	091	6	2	07	3	5	04	18-29	2	45-54	2	0	0	0	3	13	1
19	091	6	2	07	3	4	04	65+  	1	30-44	2	0	0	0	1	17	1
19	091	1	2	03	4	1	05	55-64	1	     	 	0	0	0	1	07	1
19	091	6	1	07	3	3	08	45-54	2	     	 	0	0	0	1	07	1
19	091	1	2	02	4	1	10	55-64	2	     	 	0	0	0	1	23	1
19	091	1	2	04	4	1	03	18-29	2	30-44	1	0	0	0	1	23	1
19	091	1	2	02	2	1	04	45-54	1	45-54	1	0	0	0	1	19	1
19	091	6	3	07	4	3	10	18-29	2	     	 	0	0	0	3	13	1
19	092	4	2	07	3	1	08	55-64	2	     	 	0	0	0	1	13	1
19	092	1	2	08	4	3	10	n.i. 	1	     	 	0	0	0	2	12	1
19	092	1	2	01	3	1	02	45-54	2	55-64	1	0	0	0	1	08	1
19	092	5	2	03	4	7	02	65+  	1	45-54	2	0	0	0	1	09	1
19	092	6	2	07	3	7	04	65+  	1	45-54	2	0	0	0	1	10	1
19	092	6	2	08	2	3	10	18-29	2	     	 	0	0	0	1	08	1
19	092	6	2	08	5	1	10	55-64	2	     	 	0	0	0	1	15	1
19	092	6	3	08	4	3	10	30-44	2	     	 	0	0	0	1	10	1
19	092	6	3	07	3	1	10	18-29	2	     	 	0	0	0	1	06	1
19	092	6	2	07	4	1	03	65+  	1	55-64	2	0	0	0	1	09	1
19	092	6	2	07	3	1	06	18-29	2	30-44	2	1	0	0	4	03	1
19	092	6	2	08	3	1	02	30-44	2	45-54	2	0	0	0	2	13	1
19	092	6	3	07	4	7	06	30-44	2	30-44	1	1	0	0	1	07	1
19	095	1	2	07	3	3	05	n.i. 	1	     	 	0	0	0	1	20	1
19	095	1	2	01	4	1	02	30-44	2	55-64	2	0	0	0	3	19	1
19	095	1	1	01	2	1	02	30-44	2	18-29	2	0	0	0	3	23	1
19	095	5	2	07	4	3	02	30-44	2	45-54	2	0	0	0	2	20	1
19	111	6	2	04	4	6	02	30-44	2	65+  	2	0	0	0	5	12	1
19	111	6	3	07	4	1	10	45-54	2	     	 	0	0	0	1	08	1
19	111	6	3	08	4	1	10	30-44	2	     	 	0	0	0	2	10	1
19	111	6	3	08	3	3	04	18-29	1	30-44	2	0	0	0	1	18	1
19	090	1	2	07	3	3	05	18-29	1	     	 	0	0	0	1	20	1
19	090	1	1	07	1	3	04	30-44	1	30-44	1	0	0	0	2	13	1
19	090	1	1	02	4	1	01	45-54	2	55-64	2	0	0	0	2	08	1
19	090	6	2	07	3	7	10	30-44	2	     	 	0	0	0	1	09	1
19	090	6	3	08	1	3	08	30-44	1	     	 	0	0	0	1	23	1
19	090	6	2	07	3	1	10	18-29	2	     	 	0	0	0	1	16	1
19	090	5	2	03	3	1	02	30-44	2	18-29	2	0	0	0	3	19	1
19	090	1	2	01	4	1	05	45-54	1	     	 	0	0	0	1	19	1
19	090	1	2	02	3	1	10	18-29	2	     	 	0	0	0	1	05	1
19	090	6	1	07	3	1	04	30-44	2	45-54	1	0	0	0	1	13	1
19	090	1	1	08	3	1	08	18-29	2	     	 	0	0	0	2	03	1
19	090	6	3	01	3	3	03	65+  	1	30-44	1	0	0	0	1	12	1
19	091	6	2	08	4	1	10	55-64	2	     	 	0	0	0	1	19	1
19	091	6	4	08	4	1	10	30-44	2	     	 	0	0	0	1	22	1
19	091	6	2	07	4	1	04	30-44	2	45-54	2	0	0	0	2	09	1
19	092	6	3	07	3	1	04	45-54	2	55-64	1	0	0	0	3	17	1
19	092	6	3	01	4	1	03	45-54	1	65+  	2	0	0	0	1	06	1
19	092	6	3	01	4	1	04	30-44	2	30-44	1	0	0	0	1	08	1
19	092	6	2	03	3	1	03	30-44	1	45-54	3	0	1	0	0	11	1
19	092	6	3	07	4	1	04	65+  	2	45-54	1	0	0	0	1	22	1
19	095	6	2	07	3	1	08	45-54	2	     	 	0	0	0	1	09	1
19	095	6	2	07	4	1	04	65+  	2	30-44	1	0	0	0	2	11	1
19	095	1	2	03	4	1	12	45-54	2	     	 	0	0	0	1	19	1
19	095	1	1	01	4	1	01	n.i. 	1	65+  	1	0	0	0	1	01	1
19	095	1	2	01	4	1	04	45-54	2	18-29	1	0	0	0	1	20	1
19	095	6	2	11	4	3	10	18-29	2	     	 	0	0	0	1	10	1
19	111	1	2	08	3	7	10	18-29	2	     	 	0	0	0	1	08	1
19	111	6	3	07	3	1	04	30-44	2	30-44	1	0	0	0	1	08	1
19	111	5	2	02	5	3	10	45-54	2	     	 	0	0	0	1	04	1
19	090	1	2	03	4	1	03	30-44	2	30-44	1	0	0	0	1	13	1
19	090	1	2	01	3	1	04	30-44	1	15-17	2	0	0	0	1	15	1
19	090	1	2	08	1	1	08	65+  	2	     	 	0	0	0	1	12	1
19	090	1	2	07	4	1	06	65+  	1	18-29	2	0	0	0	1	10	1
19	090	3	2	07	4	1	04	30-44	2	30-44	2	0	0	0	4	15	1
19	090	4	2	01	2	1	02	18-29	2	65+  	1	0	0	0	1	14	1
19	090	5	2	07	3	1	04	45-54	1	65+  	2	0	0	0	1	12	1
19	090	1	3	08	4	1	02	30-44	2	30-44	2	0	1	0	3	20	1
19	090	1	2	02	4	1	03	18-29	2	45-54	2	0	0	0	2	23	1
19	090	5	2	07	3	1	02	30-44	1	18-29	2	0	0	0	1	14	1
19	090	1	2	01	4	7	02	55-64	1	55-64	2	0	0	0	1	15	1
19	090	1	2	07	3	1	05	18-29	1	     	 	0	0	0	1	16	1
