anno	provincia	localizzazione_incidente	tipo_di_strada	intersezione_o_non_interse3	segnaletica	condizioni_meteorologiche	natura_incidente	veicolo__a___et__conducente	veicolo__a___esito_conducente	veicolo__b___et__conducente	veicolo__b___esito_conducente	altri_veicoli_coinvolti	morti_entro_24_ore	morti_entro_30_giorni	feriti	Ora	trimestre
22	109	1	2	07	4	1	02	30-44	2	30-44	1	0	0	0	2	23	3
22	109	1	2	07	4	1	03	18-29	2	45-54	1	0	0	0	1	05	3
22	109	5	2	07	4	1	01	30-44	1	18-29	2	0	0	0	1	01	4
22	092	6	1	07	3	1	04	55-64	1	45-54	1	3	0	0	4	16	1
22	092	6	3	04	3	3	04	18-29	2	30-44	2	0	0	0	2	18	1
22	092	6	1	03	4	1	03	55-64	2	18-29	2	0	0	0	2	07	1
22	111	6	3	07	4	1	04	55-64	2	55-64	2	0	0	0	2	16	1
22	092	1	2	03	4	1	04	30-44	2	18-29	1	0	0	0	1	17	1
22	092	6	1	03	4	7	02	45-54	1	55-64	2	0	0	0	1	06	1
22	111	6	1	08	3	1	04	30-44	1	18-29	2	0	0	0	4	13	1
22	092	6	2	03	4	1	02	30-44	2	45-54	1	0	0	0	1	13	1
22	111	6	1	07	3	1	04	30-44	2	30-44	2	0	0	0	3	21	1
22	092	6	1	07	3	1	04	45-54	1	18-29	2	0	0	0	1	11	1
22	092	6	3	07	3	1	10	30-44	2	     	 	0	0	0	1	00	1
22	092	6	1	07	3	1	04	45-54	2	45-54	2	1	0	0	2	10	1
22	092	1	2	07	3	1	04	45-54	2	55-64	1	0	0	0	2	11	1
22	092	6	3	07	3	1	04	45-54	1	30-44	2	3	0	0	1	07	1
22	111	6	2	01	3	1	04	45-54	2	18-29	1	0	0	0	1	12	1
22	111	6	2	11	4	1	02	45-54	2	30-44	2	0	0	0	3	11	1
22	111	6	1	07	3	3	04	30-44	1	18-29	2	0	0	0	2	17	1
22	111	6	1	07	3	1	04	18-29	1	30-44	2	0	0	0	1	05	1
22	111	6	1	07	3	3	04	30-44	2	55-64	2	0	0	0	3	07	1
22	092	6	1	07	4	3	10	45-54	2	     	 	0	0	0	1	14	2
22	092	4	2	08	1	1	03	30-44	1	18-29	1	0	0	0	1	16	2
22	092	6	2	03	4	1	08	45-54	1	     	 	0	0	0	1	11	2
22	092	6	3	08	3	1	10	55-64	2	     	 	0	0	0	1	01	2
22	092	6	2	02	4	7	08	18-29	2	     	 	0	0	0	1	23	2
22	092	6	1	04	4	1	04	30-44	1	30-44	3	0	1	0	0	13	2
22	092	6	2	11	4	1	04	45-54	2	65+  	2	0	0	0	3	07	2
22	095	6	1	07	3	3	10	18-29	2	     	 	0	0	0	1	20	2
22	092	6	1	07	4	7	04	18-29	1	55-64	1	2	0	0	1	15	2
22	092	5	2	07	1	1	10	65+  	2	     	 	0	0	0	1	07	2
22	092	6	3	01	4	1	04	18-29	1	n.i. 	1	0	0	0	1	19	2
22	111	6	1	07	3	1	04	55-64	1	30-44	2	0	0	0	1	10	2
22	092	4	1	08	4	1	10	18-29	2	     	 	0	0	0	2	16	2
22	111	6	2	08	3	1	01	30-44	2	45-54	2	0	0	0	5	13	2
22	111	1	2	03	4	1	03	30-44	1	55-64	1	0	0	0	1	10	2
22	092	6	2	03	4	1	04	30-44	2	45-54	1	0	0	0	1	07	2
22	092	6	2	11	4	1	01	55-64	2	45-54	2	0	0	0	5	16	2
22	092	2	2	07	4	6	10	55-64	3	     	 	0	1	0	0	10	2
22	095	6	3	01	4	1	04	45-54	2	30-44	1	0	0	0	1	08	2
22	111	6	3	01	3	1	04	45-54	1	30-44	2	0	0	0	2	08	2
22	111	6	1	07	3	1	04	55-64	2	30-44	2	0	0	0	3	03	3
22	092	5	2	03	4	1	02	65+  	2	45-54	2	0	0	0	2	08	3
22	092	6	2	07	1	1	08	30-44	2	     	 	0	0	0	1	21	3
22	092	6	3	07	4	7	01	18-29	2	65+  	2	0	0	0	3	14	3
22	092	6	1	07	3	1	04	55-64	1	45-54	2	0	0	0	1	07	3
22	111	6	1	08	3	1	10	30-44	2	     	 	0	0	0	1	19	3
22	111	6	2	02	4	1	02	65+  	1	45-54	2	0	0	0	3	12	3
22	092	6	2	11	4	1	02	65+  	1	18-29	2	0	0	0	1	06	3
22	111	6	2	07	4	1	03	30-44	2	45-54	1	0	0	0	1	06	3
22	111	6	1	07	3	1	10	18-29	2	     	 	0	0	0	1	14	3
22	111	6	3	01	4	1	04	18-29	2	45-54	2	0	0	0	3	07	3
22	111	6	2	11	4	1	04	55-64	1	18-29	2	0	0	0	1	12	3
22	111	6	3	03	5	1	03	55-64	1	30-44	2	0	0	0	1	19	3
22	092	6	3	02	5	7	04	65+  	2	30-44	1	0	0	0	1	07	3
22	092	6	1	07	3	1	04	30-44	1	45-54	2	0	0	0	4	22	4
22	111	6	2	07	4	1	01	55-64	2	30-44	2	0	0	0	2	17	4
22	092	6	1	08	4	1	04	30-44	1	45-54	2	0	0	0	2	08	4
22	092	5	2	08	4	1	10	18-29	2	     	 	0	0	0	1	22	4
