anno	provincia	localizzazione_incidente	tipo_di_strada	intersezione_o_non_interse3	segnaletica	condizioni_meteorologiche	natura_incidente	veicolo__a___et__conducente	veicolo__a___esito_conducente	veicolo__b___et__conducente	veicolo__b___esito_conducente	altri_veicoli_coinvolti	morti_entro_24_ore	morti_entro_30_giorni	feriti	Ora	trimestre
18	095	1	2	01	4	1	02	18-29	1	45-54	1	0	0	0	2	03	1
18	095	6	2	07	4	6	04	30-44	2	65+  	2	0	0	0	3	20	1
18	111	6	2	07	4	6	06	45-54	2	45-54	1	0	0	0	2	20	1
18	090	5	2	09	2	1	04	30-44	2	55-64	1	0	0	0	2	21	1
18	111	1	2	07	4	1	05	65+  	1	     	 	0	0	0	1	11	1
18	092	6	2	07	4	1	02	18-29	3	45-54	1	0	1	0	0	18	1
18	092	2	2	01	4	1	01	30-44	1	18-29	2	0	0	0	2	21	1
18	092	1	1	01	4	1	03	18-29	2	30-44	1	0	0	0	1	22	1
18	092	1	1	08	4	1	07	30-44	2	     	 	0	0	0	1	23	1
18	091	6	2	08	4	3	01	55-64	2	55-64	2	0	0	0	7	19	1
18	111	6	2	07	4	3	02	30-44	2	45-54	2	0	0	0	2	08	1
18	111	6	2	08	1	3	10	18-29	2	     	 	0	0	0	1	17	1
18	090	5	2	08	3	1	10	30-44	2	     	 	0	0	0	1	21	1
18	090	1	4	07	3	1	05	30-44	1	     	 	0	0	0	1	09	1
18	111	1	2	03	4	1	02	45-54	1	18-29	2	0	0	0	1	05	1
18	111	5	2	07	4	1	10	30-44	2	     	 	0	0	0	1	05	1
18	111	6	2	03	2	1	04	45-54	2	18-29	1	0	0	0	1	11	1
18	091	1	2	07	2	1	01	30-44	1	55-64	2	0	0	0	1	20	1
18	090	1	2	07	1	1	04	n.i. 	1	18-29	2	0	0	0	2	06	1
18	111	6	3	07	4	1	04	55-64	2	30-44	2	0	0	0	3	07	1
18	090	5	2	07	4	1	10	30-44	2	     	 	0	0	0	1	14	1
18	090	6	1	07	4	1	10	18-29	2	     	 	0	0	0	1	09	1
18	090	4	2	07	4	1	10	18-29	2	     	 	0	1	0	1	05	1
18	090	5	2	07	2	1	10	30-44	2	     	 	0	0	0	1	12	1
18	092	1	1	07	2	1	06	30-44	1	18-29	2	0	0	0	1	17	1
18	111	6	2	07	4	1	04	30-44	1	45-54	2	0	0	0	1	18	1
18	090	6	3	08	2	3	10	30-44	2	     	 	0	0	0	1	21	1
18	111	2	2	07	1	6	10	18-29	2	     	 	0	1	0	1	18	1
18	092	1	2	07	1	7	06	n.i. 	1	30-44	2	0	0	0	4	09	1
18	092	1	2	07	4	6	04	18-29	2	45-54	1	0	0	0	1	20	1
18	091	5	2	07	4	1	04	65+  	2	30-44	1	0	0	0	1	17	1
18	090	6	2	01	4	1	01	55-64	1	18-29	2	0	0	0	1	18	1
18	090	6	2	07	4	1	06	30-44	1	55-64	2	0	0	0	2	19	1
18	091	1	1	07	2	7	06	30-44	1	65+  	2	0	0	0	1	09	1
18	091	6	2	08	4	1	08	18-29	2	     	 	0	0	0	1	16	1
18	092	1	2	07	4	1	05	45-54	1	     	 	0	0	0	1	17	1
18	092	6	1	08	4	1	02	18-29	2	65+  	2	0	0	0	6	20	1
18	111	3	2	07	4	1	07	30-44	2	     	 	0	0	0	1	21	1
18	090	2	2	01	2	1	02	18-29	2	18-29	2	0	0	0	2	21	1
18	111	2	2	07	2	1	02	65+  	2	55-64	2	0	0	0	3	21	1
18	092	1	2	01	4	1	02	18-29	1	18-29	2	0	0	0	1	22	1
18	090	1	1	01	4	1	07	30-44	2	     	 	0	0	0	1	03	1
18	090	1	1	07	4	1	02	65+  	1	55-64	2	0	0	0	1	12	1
18	090	5	2	07	3	1	02	65+  	2	45-54	2	0	0	0	2	07	1
18	091	6	2	03	4	1	01	30-44	2	30-44	2	0	0	0	2	20	1
18	090	4	1	08	4	1	02	45-54	1	15-17	2	0	0	0	2	21	1
18	092	1	1	07	4	1	04	55-64	2	55-64	1	0	0	0	1	12	1
18	090	5	2	08	2	1	04	65+  	1	30-44	2	0	0	0	1	20	1
18	090	6	2	07	3	1	05	45-54	1	     	 	0	0	0	1	20	1
18	111	6	2	01	3	1	03	45-54	1	45-54	2	0	0	0	1	09	1
18	090	1	1	01	4	1	02	45-54	1	30-44	2	0	0	0	2	19	1
18	111	6	2	07	1	1	01	55-64	1	45-54	2	0	0	0	1	14	1
18	091	1	2	01	1	1	06	30-44	1	45-54	2	0	0	0	1	16	1
18	111	1	2	01	4	1	02	55-64	2	18-29	1	0	0	0	1	18	1
18	092	1	1	01	4	3	05	30-44	1	     	 	0	0	0	1	07	1
18	091	6	2	08	4	1	10	18-29	2	     	 	0	0	0	1	13	1
18	090	6	3	07	4	1	10	30-44	2	     	 	0	0	0	3	12	1
18	090	5	2	01	3	3	10	65+  	1	     	 	0	0	0	1	11	1
18	090	3	2	07	1	1	07	45-54	2	     	 	0	0	0	1	13	1
18	090	2	2	08	4	1	10	65+  	2	     	 	0	0	0	1	20	1
18	091	5	2	07	3	1	02	30-44	2	55-64	1	0	0	0	1	11	1
18	111	5	2	01	2	3	02	30-44	2	45-54	1	0	0	0	3	13	1
18	091	2	2	08	1	1	08	65+  	2	     	 	0	0	0	1	14	1
18	090	5	2	08	4	1	10	18-29	2	     	 	0	0	0	3	15	1
18	090	5	2	08	2	3	02	65+  	1	30-44	2	0	0	0	2	15	1
18	090	1	1	08	4	1	02	30-44	2	18-29	1	0	0	0	1	24	1
18	090	1	2	01	2	1	02	18-29	1	55-64	1	0	0	0	1	15	1
18	090	6	2	08	4	1	10	18-29	2	     	 	0	0	0	1	17	1
18	095	6	2	07	4	1	01	30-44	2	55-64	2	0	0	0	2	21	1
18	090	5	2	08	4	1	10	30-44	1	     	 	0	0	0	1	21	1
18	111	1	3	01	4	1	03	45-54	2	55-64	2	1	0	0	2	20	1
18	092	2	2	07	4	1	02	18-29	1	55-64	2	1	0	0	2	21	1
18	092	5	2	08	4	3	10	45-54	1	     	 	0	0	0	1	12	1
18	091	1	2	05	1	1	05	45-54	1	     	 	0	0	0	1	19	1
18	090	1	2	08	1	1	08	30-44	1	     	 	0	0	0	3	23	1
18	090	5	2	08	3	3	10	45-54	2	     	 	0	0	0	1	14	1
18	111	1	1	07	4	1	05	55-64	1	     	 	0	0	0	2	09	1
18	111	1	2	07	4	1	05	65+  	1	     	 	0	0	0	1	12	1
18	091	6	2	03	4	1	02	45-54	1	30-44	1	0	0	0	1	15	1
18	111	1	2	07	4	3	04	18-29	2	45-54	2	0	0	0	3	22	1
18	111	6	2	08	4	1	02	30-44	1	65+  	2	0	0	0	1	14	1
18	111	1	2	07	1	1	07	30-44	2	     	 	0	0	0	2	01	1
18	111	6	2	08	3	3	03	65+  	1	45-54	1	0	0	0	1	11	1
18	091	1	2	03	4	1	02	30-44	1	30-44	2	0	0	0	1	14	1
18	111	1	3	07	4	1	10	18-29	2	     	 	0	0	0	1	22	1
18	090	1	2	01	4	3	02	45-54	1	65+  	2	0	0	0	2	08	1
18	111	1	2	07	4	1	05	30-44	1	     	 	0	0	0	1	20	1
18	111	6	2	08	1	1	08	18-29	2	     	 	0	0	0	1	11	1
18	111	1	2	01	4	1	02	18-29	1	45-54	1	0	0	0	1	16	1
18	090	5	2	07	4	1	10	30-44	2	     	 	0	0	0	1	02	1
18	092	6	2	07	4	1	02	55-64	2	18-29	1	0	0	0	2	19	1
18	090	6	2	07	4	1	06	30-44	1	55-64	2	0	0	0	2	20	1
18	091	3	2	07	1	1	08	18-29	2	     	 	0	0	0	6	05	1
18	092	2	2	07	4	1	04	30-44	2	18-29	2	0	0	0	3	09	1
18	090	1	2	10	1	3	02	55-64	2	45-54	2	0	0	0	2	20	1
18	091	6	1	07	1	1	06	n.i. 	1	18-29	2	0	0	0	2	21	1
18	090	2	2	07	4	3	02	65+  	1	18-29	2	0	0	0	1	22	1
18	111	1	2	01	4	1	02	30-44	1	65+  	2	0	0	0	1	11	1
18	111	4	2	07	4	1	03	45-54	1	45-54	2	0	0	0	1	10	1
18	092	6	1	07	4	1	08	30-44	2	     	 	0	0	0	4	15	1
18	090	1	2	08	4	1	08	18-29	3	     	 	0	1	0	0	24	1
18	111	1	2	01	4	1	08	18-29	2	     	 	0	0	0	1	06	1
18	091	6	2	07	4	1	10	55-64	2	     	 	0	0	0	1	18	1
18	091	1	2	07	3	1	01	55-64	2	55-64	1	1	0	0	4	19	1
18	111	6	2	07	4	1	02	18-29	2	65+  	2	0	0	0	4	19	1
18	091	1	1	10	2	1	07	18-29	2	     	 	0	0	0	3	23	1
18	111	1	3	07	4	1	04	65+  	2	45-54	1	0	0	0	1	14	1
18	090	3	2	03	4	3	03	30-44	1	65+  	2	0	0	0	1	08	1
18	111	6	2	07	4	3	08	30-44	2	     	 	0	0	0	1	23	1
18	111	5	2	03	4	1	02	55-64	2	55-64	2	0	0	0	2	13	1
18	090	1	2	01	4	1	03	18-29	2	30-44	1	0	0	0	1	20	1
18	111	6	3	07	4	1	10	18-29	2	     	 	0	0	0	1	07	1
18	092	5	2	08	4	1	02	45-54	2	45-54	1	0	0	0	1	07	1
18	111	1	2	07	3	1	05	65+  	1	     	 	0	0	0	1	19	1
18	111	5	3	08	2	1	10	65+  	2	     	 	0	0	0	1	10	1
18	090	5	2	07	2	1	10	65+  	2	     	 	0	0	0	2	14	1
18	091	2	2	07	3	1	02	55-64	1	65+  	2	0	0	0	1	16	1
18	111	3	2	04	2	1	03	30-44	2	18-29	2	0	0	0	4	19	1
18	090	1	2	01	4	1	03	30-44	1	45-54	2	0	0	0	1	12	1
18	111	6	2	07	3	1	10	18-29	2	     	 	0	0	0	1	14	1
18	090	6	2	07	4	1	02	30-44	1	30-44	2	0	0	0	2	19	1
18	090	5	2	07	2	1	08	30-44	2	     	 	0	0	0	1	21	1
18	092	1	2	07	4	3	02	30-44	1	30-44	1	0	0	0	1	22	1
18	090	1	2	01	4	3	08	18-29	2	     	 	0	0	0	1	23	1
18	111	6	3	07	4	3	06	30-44	2	30-44	1	0	0	0	1	23	1
18	090	6	2	07	4	1	10	65+  	2	     	 	0	0	0	1	13	1
18	090	6	1	08	4	3	08	45-54	2	     	 	0	0	0	1	18	1
18	111	8	2	07	1	3	02	55-64	2	18-29	2	0	0	0	2	13	1
18	111	2	3	07	2	1	04	30-44	2	30-44	1	0	0	0	2	18	1
18	111	1	2	01	1	1	05	65+  	1	     	 	0	0	0	1	19	1
18	090	1	2	07	3	3	07	45-54	2	     	 	0	0	0	1	22	1
18	095	2	2	01	4	1	02	45-54	1	30-44	2	0	0	0	1	10	1
18	111	6	2	07	4	1	04	45-54	2	30-44	1	0	0	0	1	14	1
18	111	5	2	07	3	1	04	30-44	1	65+  	2	0	0	0	1	15	1
18	092	2	2	04	4	1	02	55-64	2	30-44	1	0	0	0	1	01	1
18	090	6	2	08	1	1	08	55-64	2	     	 	0	0	0	1	05	1
18	090	5	2	08	1	1	05	     	 	     	 	0	0	0	1	25	1
18	111	5	2	01	4	1	02	45-54	2	55-64	1	0	0	0	1	11	1
18	111	1	1	03	4	1	05	30-44	1	     	 	0	0	0	1	18	1
18	111	6	1	07	3	1	04	30-44	2	30-44	2	0	0	0	2	09	1
18	095	1	1	07	5	1	03	18-29	1	45-54	2	0	0	0	1	11	1
18	111	6	2	07	4	1	02	30-44	2	55-64	3	0	2	0	2	11	1
18	095	6	2	03	4	3	02	45-54	2	30-44	2	0	0	0	3	18	1
18	090	6	2	07	1	1	10	30-44	3	     	 	0	1	0	0	13	1
18	095	5	2	07	4	1	10	65+  	2	     	 	0	0	0	2	18	1
18	111	6	1	07	4	1	04	18-29	2	18-29	1	1	0	0	2	19	1
18	090	3	2	08	1	1	08	55-64	2	     	 	0	0	0	1	01	1
18	095	2	2	07	4	1	08	65+  	2	     	 	0	0	0	2	13	1
18	111	6	2	07	3	3	10	45-54	1	     	 	0	0	0	1	06	1
18	111	6	2	08	4	1	10	65+  	2	     	 	0	0	0	1	08	1
18	090	5	3	07	1	1	04	45-54	1	45-54	2	0	0	0	1	08	1
18	091	6	2	07	4	1	04	30-44	1	45-54	2	0	0	0	1	08	1
18	111	6	2	07	4	3	08	18-29	1	     	 	0	0	0	1	01	1
18	090	1	2	07	4	1	04	55-64	1	55-64	2	0	0	0	3	11	1
18	090	5	2	02	4	1	01	65+  	1	30-44	2	0	0	0	1	11	1
18	095	5	2	07	4	1	04	30-44	1	18-29	2	0	0	0	1	19	1
18	091	6	3	07	4	6	04	30-44	2	65+  	2	0	0	0	2	10	1
18	111	5	2	07	2	1	03	65+  	2	65+  	1	0	0	0	1	14	1
18	111	6	2	07	4	1	02	45-54	1	30-44	2	0	0	0	1	12	1
18	111	6	2	07	4	1	10	65+  	2	     	 	0	0	0	1	12	1
18	111	6	3	07	3	1	08	45-54	2	     	 	0	0	0	1	15	1
18	091	1	3	07	4	1	04	65+  	1	65+  	2	0	0	0	1	11	1
18	090	5	2	07	4	1	08	65+  	2	     	 	0	0	0	1	11	1
18	090	5	2	08	3	6	10	30-44	2	     	 	0	0	0	2	22	1
18	111	6	3	08	4	1	08	55-64	2	     	 	0	0	0	1	09	1
18	091	3	2	08	1	1	02	65+  	1	45-54	2	0	0	0	1	18	1
18	090	1	2	08	4	1	03	30-44	2	18-29	2	0	0	0	2	23	1
18	092	1	1	07	1	1	06	n.i. 	1	65+  	2	0	0	0	1	10	1
18	090	1	1	01	2	1	02	18-29	2	18-29	2	0	0	0	2	16	1
18	095	5	2	08	4	3	07	65+  	2	     	 	0	0	0	2	21	1
18	090	2	2	07	4	1	01	65+  	3	30-44	2	0	1	0	1	09	1
18	090	5	2	08	1	6	10	18-29	2	     	 	0	0	0	3	16	1
18	091	5	2	08	4	1	08	45-54	2	     	 	0	0	0	1	20	1
18	090	8	2	08	1	1	10	18-29	1	     	 	0	0	0	1	03	1
18	090	5	2	07	3	1	05	18-29	1	     	 	0	1	0	0	09	1
18	111	2	2	01	4	1	02	18-29	1	18-29	2	0	0	0	1	15	1
18	095	1	2	01	4	1	03	30-44	1	18-29	2	0	0	0	1	21	1
18	091	1	2	07	1	1	01	18-29	1	55-64	2	0	0	0	1	12	1
18	111	2	2	03	4	1	02	30-44	2	55-64	2	0	0	0	2	08	1
18	111	1	2	01	4	1	02	18-29	2	45-54	2	0	0	0	3	06	1
18	111	6	2	07	4	3	10	30-44	2	     	 	0	0	0	1	11	1
18	111	1	3	01	4	1	05	18-29	1	     	 	0	0	0	1	12	1
18	095	1	2	07	1	1	08	30-44	1	     	 	0	0	0	2	15	1
18	090	1	3	02	4	1	08	55-64	2	     	 	0	0	0	2	23	1
18	111	5	2	07	4	1	03	65+  	1	65+  	2	0	0	0	1	11	1
18	111	6	2	08	4	4	10	30-44	2	     	 	0	0	0	1	17	1
18	090	5	2	07	3	1	03	n.i. 	1	18-29	1	0	0	0	1	18	1
18	111	1	2	07	4	1	05	30-44	1	     	 	0	0	0	2	24	1
18	091	2	2	01	4	3	02	30-44	1	30-44	2	0	0	0	3	16	1
18	091	1	2	06	4	1	05	65+  	1	     	 	0	0	0	1	19	1
18	091	6	2	07	4	3	10	45-54	2	     	 	0	0	0	1	16	1
18	092	1	2	01	4	1	02	65+  	2	30-44	1	0	0	0	1	18	1
18	111	1	2	01	4	1	02	45-54	2	65+  	1	0	0	0	1	10	1
18	111	1	2	07	4	1	08	30-44	2	     	 	0	0	0	1	04	1
18	111	6	2	08	4	3	01	30-44	2	18-29	2	0	1	0	5	12	1
18	111	6	3	08	4	1	08	55-64	2	     	 	0	0	0	3	12	1
18	111	6	3	07	4	3	04	30-44	1	18-29	1	0	0	0	1	09	1
18	111	6	3	08	4	1	10	30-44	2	     	 	0	0	0	1	10	1
18	111	1	2	07	2	3	07	30-44	2	     	 	0	0	0	1	21	1
18	111	1	2	09	2	1	03	30-44	2	30-44	2	0	0	0	5	21	1
18	091	1	2	07	4	1	08	55-64	2	     	 	0	0	0	1	13	1
18	090	1	1	01	2	1	05	30-44	1	     	 	0	0	0	1	19	1
18	091	5	2	01	4	1	02	30-44	1	30-44	2	0	0	0	2	15	1
18	095	5	2	07	4	1	10	45-54	2	     	 	0	0	0	1	18	2
18	091	5	3	07	2	1	10	18-29	2	     	 	0	0	0	2	22	2
18	090	1	2	01	3	1	02	18-29	1	15-17	2	0	0	0	1	24	2
18	091	6	2	08	4	1	10	18-29	2	     	 	0	0	0	1	12	2
18	091	1	2	01	2	1	02	65+  	1	65+  	2	0	0	0	1	12	2
18	091	6	2	07	4	1	08	55-64	2	     	 	0	0	0	2	17	2
18	111	1	2	01	4	1	02	30-44	2	30-44	1	0	0	0	1	17	2
18	111	6	2	07	4	1	02	30-44	2	55-64	2	0	0	0	3	18	2
18	091	1	1	01	2	1	08	18-29	2	     	 	0	0	0	1	22	2
18	095	3	2	07	4	1	04	45-54	2	45-54	2	0	0	0	2	12	2
18	111	5	2	07	1	1	02	30-44	1	30-44	2	0	0	0	3	11	2
18	091	1	2	01	2	1	02	55-64	1	30-44	2	0	0	0	1	19	2
18	111	1	1	05	1	1	05	30-44	1	     	 	0	0	0	1	21	2
18	092	6	2	07	2	1	02	55-64	2	55-64	1	0	0	0	1	06	2
18	111	6	2	07	4	1	05	n.i. 	1	     	 	0	1	0	0	21	2
18	095	6	2	07	4	1	03	18-29	1	55-64	2	0	0	0	1	11	2
18	090	1	2	01	4	1	05	55-64	1	     	 	0	0	0	1	19	2
18	091	5	2	07	4	1	02	45-54	2	30-44	2	0	0	0	3	20	2
18	095	5	2	07	4	1	03	65+  	2	55-64	1	0	0	0	1	09	1
18	090	5	2	08	4	1	10	45-54	2	     	 	0	0	0	1	11	1
18	111	3	2	08	2	1	08	18-29	2	     	 	0	0	0	1	02	1
18	111	6	2	07	4	1	10	30-44	2	     	 	0	0	0	1	04	1
18	092	6	3	07	2	1	10	18-29	2	     	 	0	1	0	3	06	1
18	090	1	2	07	3	1	03	65+  	1	30-44	2	0	0	0	1	15	1
18	090	1	1	03	4	1	02	55-64	1	18-29	2	0	0	0	1	10	2
